platform,category,subcategory,clicked_label,name,brand,base_product_id,product_id,group_id,merchant_type,mrp,price,weight,shelf_life_in_hours,eta,availability,inventory,store_id,product_url,image_url,scraped_at,pincode_input
blinkit,Milk,N/A,Milk,Amul Buffalo A2 Milk,Amul,547185,547185,2108440,express,88.0,88.0,1 l,,8 minutes,In Stock,13,41223,https://blinkit.com/prn/amul-buffalo-a2-milk/prid/547185,https://cdn.grofers.com/da/cms-assets/cms/product/6032ea96-4ab2-44b4-8b46-f6bbf7cecfa7.png,2026-01-18 13:37:32,560001
blinkit,Milk,N/A,Milk,Amul Buffalo A2 Milk,Amul,522807,522807,2057146,express,38.0,38.0,500 ml,,8 minutes,In Stock,18,41223,https://blinkit.com/prn/amul-buffalo-a2-milk/prid/522807,https://cdn.grofers.com/da/cms-assets/cms/product/1ded64a0-9f20-4a1d-8211-156f221b377b.png,2026-01-18 13:37:32,560001
blinkit,Milk,N/A,Milk,Amul Calci+ Milk,Amul,547189,547189,2108153,express,25.0,25.0,250 ml,,8 minutes,In Stock,8,41223,https://blinkit.com/prn/amul-calci+-milk/prid/547189,https://cdn.grofers.com/da/cms-assets/cms/product/f595053a-a7ee-44a9-afce-76ac773e52b0.png,2026-01-18 13:37:32,560001
blinkit,Milk,N/A,Milk,Amul Calci+ Milk,Amul,547190,547190,2108153,express,95.0,95.0,1 l,,8 minutes,Out of Stock,0,41223,https://blinkit.com/prn/amul-calci+-milk/prid/547190,https://cdn.grofers.com/da/cms-assets/cms/product/10be8278-544a-4c72-b2b4-f8b94ed4a2da.png,2026-01-18 13:37:32,560001
blinkit,Milk,N/A,Milk,Amul Cow Milk,Amul,547184,547184,2108884,express,76.0,76.0,1 l,,8 minutes,In Stock,7,41223,https://blinkit.com/prn/amul-cow-milk/prid/547184,https://cdn.grofers.com/da/cms-assets/cms/product/5799b89d-2123-4746-b6e7-916722c37aec.png,2026-01-18 13:37:32,560001
blinkit,Milk,N/A,Milk,Amul Cow Milk,Amul,160704,160704,2056984,express,30.0,30.0,500 ml,,8 minutes,In Stock,12,41223,https://blinkit.com/prn/amul-cow-milk/prid/160704,https://cdn.grofers.com/da/cms-assets/cms/product/ae29e828-f5d9-4f8b-89b6-8c6d6919df7b.png,2026-01-18 13:37:32,560001
blinkit,Milk,N/A,Milk,Amul Gir Cow A2 Milk,Amul,559097,559097,2057157,express,80.0,80.0,1 l,,8 minutes,In Stock,3,41223,https://blinkit.com/prn/amul-gir-cow-a2-milk/prid/559097,https://cdn.grofers.com/da/cms-assets/cms/product/53cc4198-105d-4a42-a9e8-664297a37683.png,2026-01-18 13:37:32,560001
blinkit,Milk,N/A,Milk,Amul Gold Full Cream Milk,Amul,12872,12872,2056955,express,35.0,35.0,500 ml,,8 minutes,In Stock,12,41223,https://blinkit.com/prn/amul-gold-full-cream-milk/prid/12872,https://cdn.grofers.com/da/cms-assets/cms/product/628c97e0-5ed4-425d-a667-1d3bfa6f0bde.png,2026-01-18 13:37:32,560001
blinkit,Milk,N/A,Milk,Amul Gold Full Cream Milk,Amul,561268,561268,2056955,express,69.0,69.0,1 l,,8 minutes,In Stock,50,41223,https://blinkit.com/prn/amul-gold-full-cream-milk/prid/561268,https://cdn.grofers.com/da/cms-assets/cms/product/74b0d3be-111c-4342-ac27-43fd7bb54793.png,2026-01-18 13:37:32,560001
blinkit,Milk,N/A,Milk,Amul Gold Milk,Amul,179,179,143214,express,80.0,80.0,1 l,,8 minutes,In Stock,8,41223,https://blinkit.com/prn/amul-gold-milk/prid/179,https://cdn.grofers.com/da/cms-assets/cms/product/8b6b5194-6eaa-4db2-9257-2d27ad931303.png,2026-01-18 13:37:32,560001
