platform,category,subcategory,clicked_label,name,brand,base_product_id,product_id,group_id,merchant_type,mrp,price,weight,shelf_life_in_hours,eta,availability,inventory,store_id,product_url,image_url,scraped_at,pincode_input
blinkit,Milk,N/A,Milk,Nandini Toned Milk,Nandini,37083,37083,2167381,express,24.0,24.0,500 ml,,20 minutes,In Stock,12,33966,https://blinkit.com/prn/nandini-toned-milk/prid/37083,https://cdn.grofers.com/da/cms-assets/cms/product/be666ef4-a87d-4ff7-8461-38f3a9682078.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Nandini Toned Milk,Nandini,681082,681082,2167381,express,46.0,46.0,1000 ml,,20 minutes,In Stock,40,33966,https://blinkit.com/prn/nandini-toned-milk/prid/681082,https://cdn.grofers.com/da/cms-assets/cms/product/87044875-86ac-43bc-b766-3ee39c6de04a.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Nandini Shubham Pasteurised Standardized Fresh Milk,Nandini,309921,309921,2167366,express,27.0,27.0,500 ml,,20 minutes,In Stock,12,33966,https://blinkit.com/prn/nandini-shubham-pasteurised-standardized-fresh-milk/prid/309921,https://cdn.grofers.com/da/cms-assets/cms/product/fb28768e-6f5a-4047-9ad8-159bbe60959c.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Nandini Shubham Pasteurised Standardized Fresh Milk,Nandini,681066,681066,2167366,express,52.0,52.0,1 l,,20 minutes,In Stock,11,33966,https://blinkit.com/prn/nandini-shubham-pasteurised-standardized-fresh-milk/prid/681066,https://cdn.grofers.com/da/cms-assets/cms/product/c2470cb6-4493-43ac-bf0f-2a01441ca519.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Heritage Daily Health Toned Milk,Heritage,127081,127081,2056980,express,26.0,26.0,500 ml,,20 minutes,In Stock,12,33966,https://blinkit.com/prn/heritage-daily-health-toned-milk/prid/127081,https://cdn.grofers.com/da/cms-assets/cms/product/62f53af6-6b73-4c65-9df1-40021dc711a4.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Nandini Goodlife Toned Milk,Nandini Goodlife,26923,26923,706110,express,68.0,68.0,1 l,,20 minutes,In Stock,50,33966,https://blinkit.com/prn/nandini-goodlife-toned-milk/prid/26923,https://cdn.grofers.com/da/cms-assets/cms/product/25529619-b3c1-4a8e-9092-eaf06776f8f8.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Nandini Goodlife Toned Milk,Nandini Goodlife,309894,309894,706110,express,35.0,35.0,500 ml,,20 minutes,In Stock,50,33966,https://blinkit.com/prn/nandini-goodlife-toned-milk/prid/309894,https://cdn.grofers.com/da/cms-assets/cms/product/9cebd880-4569-4305-aeff-207c88236452.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Heritage Nourish+ Fresh Milk,Heritage,734812,734812,2459716,express,32.0,29.0,500 ml,,20 minutes,In Stock,5,33966,https://blinkit.com/prn/heritage-nourish+-fresh-milk/prid/734812,https://cdn.grofers.com/da/cms-assets/cms/product/aad66e49-f7d0-412f-ac08-f4fbf6d8618c.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Akshayakalpa Organic Amrutha Organic Farm Fresh A2 Milk,Akshayakalpa Organic,478884,478884,2057001,express,53.0,53.0,500 ml,,20 minutes,In Stock,12,33966,https://blinkit.com/prn/akshayakalpa-organic-amrutha-organic-farm-fresh-a2-milk/prid/478884,https://cdn.grofers.com/da/cms-assets/cms/product/dabfac35-061e-45d9-9dcb-f9e9e639537e.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Amul Lactose Free Milk,Amul,206314,206314,143225,express,25.0,24.0,250 ml,,20 minutes,In Stock,50,33966,https://blinkit.com/prn/amul-lactose-free-milk/prid/206314,https://cdn.grofers.com/da/cms-assets/cms/product/87c1c525-750e-475f-91d1-f155026ddaa1.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Heritage Special Long Life Milk (90 Days Shelf Life),Heritage,179137,179137,1285934,express,33.0,31.0,450 ml,,20 minutes,In Stock,43,33966,https://blinkit.com/prn/heritage-special-long-life-milk-(90-days-shelf-life)/prid/179137,https://cdn.grofers.com/da/cms-assets/cms/product/4b3b0e9c-731c-45c9-bffa-fb75a4f59aeb.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Akshayakalpa Organic Cow Milk (Pasteurized),Akshayakalpa Organic,478885,478885,2080572,express,42.0,42.0,500 ml,,20 minutes,In Stock,1,33966,https://blinkit.com/prn/akshayakalpa-organic-cow-milk-(pasteurized)/prid/478885,https://cdn.grofers.com/da/cms-assets/cms/product/7004f093-1876-443a-b8df-0da180d38808.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Amul Taaza Toned Milk,Amul,113945,113945,299768,express,16.0,16.0,200 ml,,20 minutes,In Stock,50,33966,https://blinkit.com/prn/amul-taaza-toned-milk/prid/113945,https://cdn.grofers.com/da/cms-assets/cms/product/852a402a-54ac-41d5-9263-187f4b077171.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Amul Taaza Toned Milk - Pack of 2,Amul,485113,485113,299768,express,33.0,32.0,2 x 200 ml,,20 minutes,In Stock,50,33966,https://blinkit.com/prn/amul-taaza-toned-milk---pack-of-2/prid/485113,https://cdn.grofers.com/da/cms-assets/cms/product/ce70d80f-bb6d-4aea-b1b2-eba9b30bf0ac.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Amul Gold Milk,Amul,179,179,143214,express,80.0,80.0,1 l,,20 minutes,In Stock,48,33966,https://blinkit.com/prn/amul-gold-milk/prid/179,https://cdn.grofers.com/da/cms-assets/cms/product/8b6b5194-6eaa-4db2-9257-2d27ad931303.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Yakult Probiotic Drink,Yakult,3471,3471,1923762,express,90.0,90.0,5 x 65 ml,,20 minutes,In Stock,13,33966,https://blinkit.com/prn/yakult-probiotic-drink/prid/3471,https://cdn.grofers.com/da/cms-assets/cms/product/c02659e5-2d26-41a3-b338-b3a2a6981a92.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Nandini Slim Skimmed Milk,Nandini,115774,115774,143344,express,71.0,71.0,1 l,,20 minutes,In Stock,20,33966,https://blinkit.com/prn/nandini-slim-skimmed-milk/prid/115774,https://cdn.grofers.com/da/cms-assets/cms/product/d3d0fe26-4539-4ee2-9e4c-d2385a18bcd8.png,2026-01-18 14:26:48,560001
