Pincode,Status,Categories_Scraped,Products_Found,Start_Time,End_Time,Duration_Seconds,Error_Message
110001,Success,32,0,2026-01-20T14:31:56.504970,2026-01-20T14:34:02.695957,126.190987,
110044,Success,32,0,2026-01-20T14:32:17.180929,2026-01-20T14:34:03.563219,106.38229,
110020,Success,55,90,2026-01-20T14:32:16.921341,2026-01-20T14:34:14.621171,117.69983,
110017,Success,55,54,2026-01-20T14:31:58.837872,2026-01-20T14:34:15.494797,136.656925,
110048,Success,0,0,2026-01-20T14:34:11.825786,2026-01-20T14:34:24.020277,12.194491,
110052,Success,0,0,2026-01-20T14:34:12.352332,2026-01-20T14:34:24.915197,12.562865,
110067,Success,0,0,2026-01-20T14:34:22.600510,2026-01-20T14:34:34.797837,12.197327,
110070,Success,0,0,2026-01-20T14:34:25.055910,2026-01-20T14:34:37.215992,12.160082,
110075,Success,0,0,2026-01-20T14:34:32.028340,2026-01-20T14:34:44.344679,12.316339,
110085,Success,0,0,2026-01-20T14:34:34.717474,2026-01-20T14:34:46.912026,12.194552,
110091,Success,0,0,2026-01-20T14:34:42.693375,2026-01-20T14:34:54.831389,12.138014,
110092,Success,0,0,2026-01-20T14:34:43.394945,2026-01-20T14:34:55.572369,12.177424,
121001,Success,0,0,2026-01-20T14:34:52.162706,2026-01-20T14:35:04.278977,12.116271,
121002,Success,0,0,2026-01-20T14:34:55.137812,2026-01-20T14:35:07.304120,12.166308,
122001,Success,0,0,2026-01-20T14:35:01.461582,2026-01-20T14:35:13.680222,12.21864,
201301,Success,32,0,2026-01-20T14:35:14.912700,2026-01-20T14:36:58.494972,103.582272,
122018,Success,32,0,2026-01-20T14:35:13.242512,2026-01-20T14:37:01.250526,108.008014,
122002,Success,55,90,2026-01-20T14:35:03.603609,2026-01-20T14:37:10.059370,126.455761,
201304,Success,55,54,2026-01-20T14:35:19.423695,2026-01-20T14:37:10.554665,111.13097,
201307,Success,0,0,2026-01-20T14:37:05.442935,2026-01-20T14:37:17.603288,12.160353,
400001,Success,0,0,2026-01-20T14:37:06.917173,2026-01-20T14:37:19.180154,12.262981,
400013,Success,0,0,2026-01-20T14:37:15.578768,2026-01-20T14:37:27.734570,12.155802,
400021,Success,0,0,2026-01-20T14:37:17.044718,2026-01-20T14:37:29.196124,12.151406,
400026,Success,0,0,2026-01-20T14:37:22.825984,2026-01-20T14:37:34.961198,12.135214,
400050,Success,0,0,2026-01-20T14:37:26.160350,2026-01-20T14:37:38.331100,12.17075,
400053,Success,0,0,2026-01-20T14:37:34.337885,2026-01-20T14:37:46.546518,12.208633,
400058,Success,0,0,2026-01-20T14:37:36.150297,2026-01-20T14:37:48.324106,12.173809,
400064,Success,0,0,2026-01-20T14:37:43.810231,2026-01-20T14:37:55.924496,12.114265,
400071,Success,0,0,2026-01-20T14:37:48.214324,2026-01-20T14:38:00.432493,12.218169,
400076,Success,0,0,2026-01-20T14:37:52.086375,2026-01-20T14:38:04.225604,12.139229,
400092,Success,0,0,2026-01-20T14:37:57.231554,2026-01-20T14:38:09.525820,12.294266,
400097,Success,32,0,2026-01-20T14:38:02.963044,2026-01-20T14:39:57.280603,114.317559,
400101,Success,32,0,2026-01-20T14:38:06.331040,2026-01-20T14:39:57.520208,111.189168,
400601,Success,55,72,2026-01-20T14:38:16.137351,2026-01-20T14:40:08.723167,112.585816,
400104,Success,55,60,2026-01-20T14:38:12.965177,2026-01-20T14:40:10.486924,117.521747,
400610,Success,0,0,2026-01-20T14:40:03.205863,2026-01-20T14:40:15.381146,12.175283,
400703,Success,0,0,2026-01-20T14:40:05.327118,2026-01-20T14:40:17.475463,12.148345,
400705,Success,0,0,2026-01-20T14:40:16.289429,2026-01-20T14:40:28.465546,12.176117,
400706,Success,0,0,2026-01-20T14:40:17.178661,2026-01-20T14:40:29.454939,12.276278,
421201,Success,0,0,2026-01-20T14:40:23.517753,2026-01-20T14:40:35.670615,12.152862,
