Category,Subcategory,Item Name,Brand,Mrp,Price,Weight/pack_size,Delivery ETA,availability,inventory,store_id,base_product_id,shelf_life_in_hours,timestamp,pincode_input,clicked_label
Biscuits,Biscuits,Britannia Marie Gold Biscuits Plain | Trans Fat-free,Unknown,15,15,N/A,50 min,In Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/britannia-marie-gold-biscuits-plain-trans-fat-free/pvid/40b98007-044e-46cb-9709-7621ef016f29,N/A,18-01-2026 19:04,560001,Biscuits
Biscuits,Biscuits,Sunfeast Dark Fantasy Bourbon Biscuit With Classic Chocolate,Unknown,13,13,N/A,50 min,In Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/sunfeast-dark-fantasy-bourbon-biscuit-with-classic-chocolate/pvid/daa57568-92cf-405c-82ac-f349591b48de,N/A,18-01-2026 19:04,560001,Biscuits
Biscuits,Biscuits,Britannia Nutrichoice High-Fibre Digestive Biscuits,Unknown,21,21,N/A,50 min,In Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/britannia-nutrichoice-high-fibre-digestive-biscuits/pvid/f586520f-750a-4593-998f-6cbf0ba8a9a2,N/A,18-01-2026 19:04,560001,Biscuits
Biscuits,Biscuits,Britannia Treat Rich Creme Strawberry Flavoured Wafers | Light Crispy Fruity Snack,Unknown,25,25,N/A,50 min,In Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/britannia-treat-rich-creme-strawberry-flavoured-wafers-light-crispy-fruity-snack/pvid/b8cc1b9d-d715-49da-9ea5-e70d9ad4baf6,N/A,18-01-2026 19:04,560001,Biscuits
Biscuits,Biscuits,Britannia Toastea Premium Bake Rusk With Real Elaichi,Unknown,31,31,N/A,50 min,In Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/britannia-toastea-premium-bake-rusk-with-real-elaichi/pvid/eb49897f-0110-4d54-984f-aa9f915cf050,N/A,18-01-2026 19:04,560001,Biscuits
Biscuits,Biscuits,"Mcvitie&#x27;s Digestive High Fibre Biscuits With Goodness Of Wholewheat,Super Saver Family Pack",Unknown,13,13,N/A,50 min,In Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/mcvities-digestive-high-fibre-biscuits-with-goodness-of-wholewheatsuper-saver-family-pack/pvid/5b782f7d-3a17-43d3-881f-453cbabc2a9f,N/A,18-01-2026 19:04,560001,Biscuits
Biscuits,Biscuits,Parle-G Original Gluco Biscuits,Unknown,26,26,N/A,50 min,In Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/parle-g-original-gluco-biscuits/pvid/5a1c25fc-0b4c-445e-8b82-f42ef1c31f7b,N/A,18-01-2026 19:04,560001,Biscuits
Biscuits,Biscuits,Britannia Toastea Milk Rusk,Unknown,30,30,N/A,50 min,In Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/britannia-toastea-milk-rusk/pvid/e0b27634-e620-496f-891a-02c96e1804a2,N/A,18-01-2026 19:04,560001,Biscuits
Biscuits,Biscuits,Britannia Treat Rich Creme Choco Flavoured Wafers | Crispy &amp; Chocolatey,Unknown,25,25,N/A,50 min,In Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/britannia-treat-rich-creme-choco-flavoured-wafers-crispy-chocolatey/pvid/c94e35cc-a70c-479e-ae75-6712c0cb81a3,N/A,18-01-2026 19:04,560001,Biscuits
Biscuits,Biscuits,Malkist Cheese Crunchy Layered Crackers,Unknown,41,41,N/A,50 min,In Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/malkist-cheese-crunchy-layered-crackers/pvid/ff124783-3c69-427e-8e35-510a857135b7,N/A,18-01-2026 19:04,560001,Biscuits
